Item;Quantity; Price (USD) ;Link; Price (ZAR) 
6 mm Linear bearings;6; $6,95 ;https://www.temu.com/goods.html?_bg_fs=1&goods_id=601099757890230&sku_id=17593164652251&_oak_page_source=501&_x_sessn_id=tmp5ko66i9&refer_page_name=shopping_cart&refer_page_id=10037_1768828500470_2b4usowy9c&refer_page_sn=10037; R114,00 
6x100mm steel rod;6; $4,45 ;https://www.temu.com/za/6pcs-of-solid-stainless-steel-round-rods-with-diameters-ranging-from-3-to-8-mm-and-a-length-of-100-mm-suitable-for-metal-axles-and-model-materials-as-well-as-for-axle-repairs-g-601104949396619.html?_oak_mp_inf=EIuJ7be61ogBGiBlNmNmNmJkNTNjMGM0YzBiODE0NTc0MjJiOWJkNzc3ZCD4nKazvTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F85f4b223-2b8b-4e6f-b498-21d31562e3d6.jpg&spec_gallery_id=601104949396619&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NzcwMA&_oak_gallery_order=277460749%2C1107262206%2C225773453%2C1252703368%2C1057144488&search_key=steel%20rod%206mm%2060mm&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768828392821_m2ryqj3cgo&_x_sessn_id=tmp5ko66i9; R73,00 
1.5mm steel wire 10m;1; $3,97 ;https://www.temu.com/za/-steel-wire-rope-393-7-inch-coil-7x7mm-thickness-durable--resistant-ideal-for-outdoor-use--garden-fencing-secure-twisted-design-with-interlocking-loops-outdoor-hanging-gear-coiled-wire-rope--design-g-601100070645373.html?_oak_mp_inf=EP3cvaGo1ogBGiBjNTFhZTc5YzIzMzM0YWMxODU3MzI0YTZiOTFiZjUyOCDro7GzvTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F463aa041-1d77-4104-90df-96e7fbbaaef2.jpg&spec_gallery_id=601100070645373&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NzYwMA&_oak_gallery_order=483425931%2C2092363131%2C1911441056%2C1640603404%2C1800735283&search_key=1.5mm%20steel%20wire&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768828392821_m2ryqj3cgo&_x_sessn_id=tmp5ko66i9; R65,00 
20pcs Aluminium wire crimps;2; $1,95 ;https://www.temu.com/goods.html?_bg_fs=1&goods_id=601100082790187&sku_id=17594636819678&_oak_page_source=501&_x_sessn_id=tmp5ko66i9&refer_page_name=shopping_cart&refer_page_id=10037_1768829542042_mjrlvl182t&refer_page_sn=10037; R32,00 
PTFE Teflon tube 8m;1; $7,20 ;https://www.temu.com/goods.html?_bg_fs=1&goods_id=601102812579584&sku_id=17606537057747&_oak_page_source=501&_x_sessn_id=tmp5ko66i9&refer_page_name=shopping_cart&refer_page_id=10037_1768829700152_vky5gby8zi&refer_page_sn=10037; R118,00 
DIN rail 2m;1; $10,31 ;https://gammapanels.com/db-product/412?gad_source=1&gad_campaignid=22937131611&gbraid=0AAAABBB98ZgdfV0TKx5GzYbDNgPNPLVjK&gclid=CjwKCAiAybfLBhAjEiwAI0mBBp6JA1QJFriKiKMzzjHr2QtdjPP4q5dLZNppcOlmvTRPVWsPiBanaxoC-0QQAvD_BwE; R168,96 
MR105 bearings 10pcs;2; $5,80 ;https://www.temu.com/goods.html?_bg_fs=1&goods_id=601102743845536&sku_id=17606179642691&_oak_page_source=501&_x_sessn_id=tmp5ko66i9&refer_page_name=shopping_cart&refer_page_id=10037_1768830003878_dp8jahk3zw&refer_page_sn=10037; R95,00 
Springs 13mm diameter 5pcs;2; $3,54 ;https://www.temu.com/goods.html?_bg_fs=1&goods_id=601099814724036&sku_id=17593421915841&_oak_page_source=501&_x_sessn_id=tmp5ko66i9&refer_page_name=shopping_cart&refer_page_id=10037_1768830340591_s8kuy7atbd&refer_page_sn=10037; R58,00 
GT2 belt 5m+8Pcs headers;1; $8,97 ;https://www.temu.com/za/9pcs-set-of-8-gt2-mechanical-gears-5m-196in-timing-belt-width-6mm-0-236in--an-allen-wrench-suitable-for-3d-printers-and-cnc-machines-printing-accessories-mechanical-gear-set-g-601099880610807.html?_oak_name_id=1543381148297170460&_oak_mp_inf=EPf37san1ogBGiA0YTBiZWYyZDRjOGY0NjQ4OTgyYTc2ODBkNzc3NjE2YSCXr4e0vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fa81f6942-4a08-4c2b-bbd5-70bafbd58255.jpg&spec_gallery_id=40799&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTQ3MDA&_oak_gallery_order=1750360224%2C1132147527%2C1683025427%2C793033271%2C2025631810&search_key=gt2%20belt&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768829765948_1ivn5px9lk&_x_sessn_id=tmp5ko66i9&is_back=1&no_cache_id=t4ldp; R147,00 
608RS bearings 30pcs;1; $6,89 ;https://www.temu.com/za/30pcs-608-rs-precision---10-black-10-blue--performance-roller-skate-scooter-wheel-bearings-g-601102139121673.html?_oak_name_id=5289753928010786596&_oak_mp_inf=EInA5%2Fuv1ogBGiAwOTgwNGY0ZDNiMGI0NTNjYmQ0YTE3OWU2ZTBlZDA0NCCw7Y20vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Fopen%2F471c5ebf62d942e18cb50776b6b88982-goods.jpeg&spec_gallery_id=601102139121673&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTI4MDA&_oak_gallery_order=1853044479%2C30648454%2C1288052372%2C705877147%2C1524577206&search_key=608%20bearings%2030&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768829765948_1ivn5px9lk&_x_sessn_id=tmp5ko66i9; R113,00 
